id,full_name,avg_speed_per_game,avg_distance_per_game
203123,Kostas Papanikolaou,3.56,0.68
203124,Kyle O'Quinn,3.29,0.64
203135,Robert Sacre,1.67,0.35
203138,Hollis Thompson,4.11,1.91
203141,Mirza Teletovic,4.04,1.44
203142,Chris Copeland,1.75,0.18
203143,Pablo Prigioni,3.31,0.77
203145,Kent Bazemore,4.35,2.0
203148,Brian Roberts,2.72,0.42
203156,Henry Sims,4.0,1.25
203186,Willie Reed,2.83,0.52
203187,Chris Johnson,3.77,0.78
203200,Justin Holiday,3.19,0.79
203210,JaMychal Green,4.05,1.25
203268,Jorge Gutierrez,1.85,0.17
203382,Aron Baynes,4.02,1.02
203457,Nerlens Noel,3.44,1.67
203458,Alex Len,3.91,1.51
203459,Allen Crabbe,4.3,1.86
203460,Andre Roberson,4.53,1.67
203461,Anthony Bennett,1.66,0.13
203462,Archie Goodwin,3.06,0.98
203463,Ben McLemore,3.89,1.36
203468,CJ McCollum,4.5,2.59
203469,Cody Zeller,4.21,1.7
203471,Dennis Schröder,4.35,1.46
203473,Dewayne Dedmon,3.05,0.62
203475,Erick Green,3.17,0.26
203476,Gorgui Dieng,4.03,1.81
203477,Isaiah Canaan,3.92,1.66
203481,Jeff Withey,2.82,0.61
203482,Kelly Olynyk,4.18,1.4
203484,Kentavious Caldwell-Pope,3.94,2.4
203485,Lorenzo Brown,2.83,0.36
203486,Mason Plumlee,4.23,1.78
203487,Michael Carter-Williams,3.49,1.77
203488,Mike Muscala,3.27,0.54
203490,Otto Porter Jr.,4.07,2.05
203492,Ray McCallum,3.68,0.73
203493,Reggie Bullock Jr.,2.05,0.4
203496,Robert Covington,3.49,1.65
203497,Rudy Gobert,3.72,1.96
203498,Shabazz Muhammad,4.36,1.48
203499,Shane Larkin,4.15,1.54
203500,Steven Adams,4.17,1.74
203501,Tim Hardaway Jr.,3.52,1.0
203503,Tony Snell,3.31,1.11
203504,Trey Burke,3.4,1.21
203506,Victor Oladipo,4.21,2.3
203507,Giannis Antetokounmpo,4.06,2.38
203508,Sergey Karasev,2.18,0.36
203512,Lucas Nogueira,1.79,0.23
203515,Phil Pressey,4.14,0.82
203516,James Ennis III,2.07,0.55
203521,Matthew Dellavedova,4.22,1.71
203524,Solomon Hill,2.85,0.73
203526,Raul Neto,4.47,1.37
203527,Ryan Kelly,2.02,0.45
203530,Joffrey Lauvergne,3.16,0.93
203546,Ian Clark,3.83,0.56
203552,Seth Curry,2.34,0.59
203584,Troy Daniels,2.49,0.46
203613,Jonathon Simmons,3.76,0.93
203648,Thanasis Antetokounmpo,1.85,0.1
203798,PJ Hairston,3.78,1.24
